IdProvincia;IdEstacion;Año;Semana;Temp Media (ºC);Temp Máx (ºC);Hora Temp Max;Temp Mín (ºC);Hora Temp Mín;Hum Media (%);Hum Max (%);Hora Hum Max;Humedad Mín (%);Hora Humedad Mín;Vel Viento (m/s);Dir Viento (º);Vel Viento Máx (m/s);Hora Vel Máx Viento;Dir viento Vel Max (º);Radiación (MJ/m2);Precipitación (mm);PePMon;EtPMon;Fecha
30;107;2014;49;11,6;22,07;01/12/2014 13:39;5,37;06/12/2014 3:33;61,2;92,3;04/12/2014 6:28;28,25;07/12/2014 15:42;0,77;264,01;7,35;06/12/2014 15:35;279,1;10,56;2,4;0;7,6;01/12/2014
30;107;2014;50;10,54;19,87;11/12/2014 13:06;3,46;12/12/2014 1:34;61,53;92,4;14/12/2014 18:33;17,3;10/12/2014 13:25;0,91;255,18;7,35;08/12/2014 21:18;216,5;9,15;7,3;3,63;7,81;08/12/2014
30;107;2014;51;11,45;19,93;19/12/2014 13:55;5,46;19/12/2014 5:35;71,27;93,3;20/12/2014 1:25;33,48;17/12/2014 13:01;0,74;261,79;6,76;17/12/2014 3:37;306,7;8,96;3,3;0,43;6,79;15/12/2014
30;107;2014;52;9,98;18,23;27/12/2014 14:49;2,75;25/12/2014 7:37;71,16;92,2;24/12/2014 3:03;32,24;24/12/2014 15:12;0,89;258,24;8,04;28/12/2014 6:27;245,4;9,19;0;0;7,5;22/12/2014
30;107;2014;53;6,62;17,4;31/12/2014 14:34;-0,92;31/12/2014 6:28;38,03;63,9;30/12/2014 20:43;11,52;30/12/2014 13:56;1,11;272,09;8,23;29/12/2014 1:04;301,1;11,37;0;0;3,97;29/12/2014
30;107;2015;1;9,12;22,65;04/01/2015 13:42;0,31;02/01/2015 7:10;59,98;90,3;02/01/2015 22:43;14;04/01/2015 13:31;0,73;238,54;5,78;04/01/2015 10:15;268,4;10,91;0;0;4,55;01/01/2015
30;107;2015;2;8,85;22,79;11/01/2015 11:59;0,11;10/01/2015 6:15;68,21;94;06/01/2015 7:37;11,95;11/01/2015 13:15;0,65;253,85;4,51;06/01/2015 12:53;231,5;10,92;0;0;7,14;05/01/2015
30;107;2015;3;9,58;20,11;15/01/2015 13:28;-0,46;18/01/2015 5:17;64,02;93;16/01/2015 4:28;19,55;17/01/2015 15:04;0,79;254,17;8,82;16/01/2015 12:57;249,9;9,39;1,4;0;8,06;12/01/2015
30;107;2015;4;8,72;17,66;25/01/2015 14:47;1,18;21/01/2015 6:32;50,96;93,4;19/01/2015 6:18;13,83;25/01/2015 14:41;1,13;287,01;11,27;23/01/2015 10:12;240,4;10,32;9,8;5,47;10,07;19/01/2015
30;107;2015;5;12,17;24,6;30/01/2015 12:51;2,22;27/01/2015 5:42;48,57;89,9;28/01/2015 23:15;19,58;26/01/2015 13:23;1,75;258,11;12,15;31/01/2015 0:38;238,2;13,16;0,9;0;15,89;26/01/2015
30;107;2015;6;8,11;18,08;03/02/2015 14:36;-1,13;07/02/2015 4:44;42,44;78,35;08/02/2015 21:56;15,76;06/02/2015 13:58;1,71;265,51;13,52;04/02/2015 9:41;327,3;13,75;0;0;14,5;02/02/2015
30;107;2015;7;10,44;21,24;15/02/2015 12:47;-0,96;09/02/2015 4:01;71,62;93,1;10/02/2015 6:56;32,4;15/02/2015 12:49;1,06;317,77;8,82;09/02/2015 12:01;60,93;10,15;14,1;5,25;11,14;09/02/2015
30;107;2015;8;11,64;20,84;16/02/2015 12:52;3,9;21/02/2015 3:15;61,41;92,8;21/02/2015 3:54;19,38;22/02/2015 15:05;1,61;2,66;11,37;17/02/2015 14:06;69,95;10,5;1,8;0;13,72;16/02/2015
30;107;2015;9;14,79;22,82;01/03/2015 12:40;5,54;28/02/2015 1:35;41,12;82;28/02/2015 4:53;14,07;24/02/2015 14:26;1,56;282,44;12,64;25/02/2015 7:41;305,6;16,07;0;0;20,67;23/02/2015
30;107;2015;10;12,36;25,82;02/03/2015 13:08;0,68;07/03/2015 6:35;53,07;93,9;04/03/2015 8:09;9,44;05/03/2015 14:56;1,1;195,96;9,21;07/03/2015 12:33;162,4;19,2;0;0;19,49;02/03/2015
30;107;2015;11;12,73;27,12;11/03/2015 14:23;3,23;15/03/2015 6:13;62,32;93,2;10/03/2015 7:29;13,02;11/03/2015 13:01;1,08;198,56;8,82;15/03/2015 13:56;214,5;17,95;0;0;18,8;09/03/2015
30;107;2015;12;11,43;17,1;22/03/2015 12:26;3,2;17/03/2015 6:36;78,8;93,3;21/03/2015 7:06;42,63;16/03/2015 15:01;1,51;92,75;13,43;20/03/2015 12:53;64,87;11,36;27,4;12,17;12,95;16/03/2015
30;107;2015;13;15,2;29,16;29/03/2015 13:17;6,54;26/03/2015 5:48;57,35;93,2;23/03/2015 6:33;12,82;29/03/2015 12:22;1,51;278,44;10,88;28/03/2015 2:04;335,1;17,37;13,8;5,65;23,23;23/03/2015
30;107;2015;14;17,04;30,19;31/03/2015 12:15;7,58;03/04/2015 4:39;55,84;91,9;05/04/2015 6:25;14,06;30/03/2015 13:29;1,16;153,49;7,35;31/03/2015 12:13;91,6;22,91;0;0;27,23;30/03/2015
30;107;2015;15;12,99;18,46;10/04/2015 14:55;6,84;10/04/2015 5:28;68,14;91,3;12/04/2015 1:32;37,15;06/04/2015 12:39;1,97;61,49;10;12/04/2015 15:40;57,72;12,88;1,1;0;18,53;06/04/2015
30;107;2015;16;16,09;23,68;17/04/2015 11:49;8,92;18/04/2015 5:34;59,97;92,3;16/04/2015 3:59;29,31;19/04/2015 10:16;1,39;169,2;9,7;14/04/2015 14:53;51,88;20,08;5,3;1,93;25,42;13/04/2015
30;107;2015;17;17,03;26,25;25/04/2015 11:55;9,29;20/04/2015 5:02;64,55;91,2;23/04/2015 6:31;20,37;25/04/2015 10:57;1,2;141,47;10;21/04/2015 15:24;46,21;22,47;1;0;27,57;20/04/2015
30;107;2015;18;20,34;33,92;03/05/2015 13:19;11,06;29/04/2015 4:54;46,19;88,1;01/05/2015 5:34;14,33;03/05/2015 17:05;1,17;203,5;10,09;27/04/2015 3:18;257,5;27,11;0;0;35,54;27/04/2015
30;107;2015;19;22,1;32;04/05/2015 11:28;12,34;08/05/2015 4:46;45,53;91,5;10/05/2015 6:32;12,88;05/05/2015 14:20;1,13;162,37;7,55;10/05/2015 13:44;66,19;26,59;0;0;36,41;04/05/2015
30;107;2015;20;21,87;36,68;14/05/2015 10:14;10,06;17/05/2015 5:08;43,01;85,7;17/05/2015 1:32;3,92;13/05/2015 16:32;1,19;170,4;10,39;14/05/2015 11:23;213;29,65;0;0;40,37;11/05/2015
